"","id","Wikipedia_Link","Name","Country","Born","Dead","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"103",103,"https://en.wikipedia.org/wiki/George_Gabriel_Stokes","George Gabriel Stokes ","Ireland",1819,1903,"Ireland",52.865196,-7.9794599,51.222,55.636,-11.0133788,-5.6582363
"104",104,"https://en.wikipedia.org/wiki/Hippolyte_Fizeau","Hippolyte Fizeau ","France",1819,1896,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"105",105,"https://en.wikipedia.org/wiki/L%C3%A9on_Foucault","Léon Foucault ","France",1819,1868,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"106",106,"https://en.wikipedia.org/wiki/John_Tyndall","John Tyndall ","United Kingdom",1820,1893,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"107",107,"https://en.wikipedia.org/wiki/Johann_Josef_Loschmidt","Johann Josef Loschmidt ","Austria",1821,1895,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"108",108,"https://en.wikipedia.org/wiki/Hermann_von_Helmholtz","Hermann von Helmholtz ","Germany",1821,1894,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"109",109,"https://en.wikipedia.org/wiki/Am%C3%A9d%C3%A9e_Mouchez","Amédée Mouchez ","Spain",1821,1892,"Spain",39.3262345,-4.8380649,27.4335426,43.9933088,-18.3936845,4.5918885
"110",110,"https://en.wikipedia.org/wiki/Rudolf_Clausius","Rudolf Clausius ","Germany",1822,1888,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"111",111,"https://en.wikipedia.org/wiki/August_Kr%C3%B6nig","August Krönig ","Germany",1822,1879,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"112",112,"https://en.wikipedia.org/wiki/John_Kerr_(physicist)","John Kerr ","Scotland",1824,1907,"Scotland",56.7861112,-4.1140518,54.4339831,61.061,-14.015517,-0.3209221
"113",113,"https://en.wikipedia.org/wiki/William_Thomson,_1st_Baron_Kelvin","William Thomson (Lord Kelvin) ","United Kingdom",1824,1907,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"114",114,"https://en.wikipedia.org/wiki/Gustav_Kirchhoff","Gustav Kirchhoff ","Germany",1824,1887,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"115",115,"https://en.wikipedia.org/wiki/%C3%89mile_Verdet","Émile Verdet ","France",1824,1866,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"116",116,"https://en.wikipedia.org/wiki/Johann_Jakob_Balmer","Johann Jakob Balmer ","Switzerland",1825,1898,"Switzerland",46.7985624,8.2319736,45.817995,47.8084648,5.9559113,10.4922941
"117",117,"https://en.wikipedia.org/wiki/Joseph_Swan","Joseph Swan ","United Kingdom",1828,1914,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"118",118,"https://en.wikipedia.org/wiki/Ludvig_Lorenz","Ludvig Lorenz ","Denmark",1829,1891,"Denmark",55.670249,10.3333283,54.4516667,57.9524297,7.7153255,15.5530641
"119",119,"https://en.wikipedia.org/wiki/Johannes_Bosscha","Johannes Bosscha ","Netherlands",1831,1911,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"120",120,"https://en.wikipedia.org/wiki/James_Clerk_Maxwell","James Clerk Maxwell ","United Kingdom",1831,1879,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"121",121,"https://en.wikipedia.org/wiki/Sir_William_Crookes","Sir William Crookes ","United Kingdom",1832,1919,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"122",122,"https://en.wikipedia.org/wiki/Maurice_Loewy","Maurice Loewy ","Austria",1833,1907,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"123",123,"https://en.wikipedia.org/wiki/Simon_Newcomb","Simon Newcomb ","United States",1835,1909,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"124",124,"https://en.wikipedia.org/wiki/Joseph_Stefan","Joseph Stefan ","Austria",1835,1893,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"125",125,"https://en.wikipedia.org/wiki/Johannes_Diderik_van_der_Waals","Johannes Diderik van der Waals ","Netherlands",1837,1923,"Netherlands",52.5001698,5.7480821,11.777,53.744025,-70.2695876,7.2274985
"126",126,"https://en.wikipedia.org/wiki/Amos_Dolbear","Amos Dolbear","United States",1837,1910,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"127",127,"https://en.wikipedia.org/wiki/Ernst_Mach","Ernst Mach ","Austria",1838,1916,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"128",128,"https://en.wikipedia.org/wiki/George_William_Hill","George William Hill ","United States",1838,1914,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"129",129,"https://en.wikipedia.org/wiki/Josiah_Willard_Gibbs","Josiah Willard Gibbs ","United States",1839,1903,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"130",130,"https://en.wikipedia.org/wiki/Aleksandr_Stoletov","Aleksandr Stoletov ","Russia",1839,1896,"Russia",64.6863136,97.7453061,41.1850968,82.0586232,-180,180
"131",131,"https://en.wikipedia.org/wiki/Carlo_Marangoni","Carlo Marangoni ","Italy",1840,1925,"Italy",42.6384261,12.674297,35.2889616,47.0921462,6.6272658,18.7844746
"132",132,"https://en.wikipedia.org/wiki/Ernst_Karl_Abbe","Ernst Karl Abbe ","Germany",1840,1905,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"133",133,"https://en.wikipedia.org/wiki/Thomas_Corwin_Mendenhall","Thomas Corwin Mendenhall ","United States",1841,1924,"United States",39.7837304,-100.4458825,-14.7608358,71.6048217,-180,180
"134",134,"https://en.wikipedia.org/wiki/Marie_Alfred_Cornu","Marie Alfred Cornu ","France",1841,1902,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"135",135,"https://en.wikipedia.org/wiki/James_Dewar","James Dewar ","United Kingdom",1842,1923,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"136",136,"https://en.wikipedia.org/wiki/Lord_Rayleigh","Lord Rayleigh ","United Kingdom",1842,1919,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"137",137,"https://en.wikipedia.org/wiki/Osborne_Reynolds","Osborne Reynolds ","United Kingdom",1842,1912,"United Kingdom",54.7023545,-3.2765753,47.2023545,62.2023545,-10.7765753,4.2234247
"138",138,"https://en.wikipedia.org/wiki/Ludwig_Boltzmann","Ludwig Boltzmann ","Austria",1844,1906,"Austria",47.2000338,13.199959,46.3722761,49.0205305,9.5307487,17.160776
"139",139,"https://en.wikipedia.org/wiki/Wilhelm_R%C3%B6ntgen","Wilhelm Conrad Röntgen ","Germany",1845,1923,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"140",140,"https://en.wikipedia.org/wiki/Gabriel_Jonas_Lippmann","Gabriel Jonas Lippmann ","France",1845,1921,"France",46.603354,1.8883335,-50.2187169,51.268318,-178.3873749,172.3057152
"141",141,"https://en.wikipedia.org/wiki/Ivan_Pulyuy","Ivan Pulyuy ","Ukraine",1845,1918,"Ukraine",49.4871968,31.2718321,44.184598,52.3791473,22.137059,40.2275801
"142",142,"https://en.wikipedia.org/wiki/Nikolay_Umov","Nikolay Umov ","Russia",1846,1915,"Russia",64.6863136,97.7453061,41.1850968,82.0586232,-180,180
"143",143,"https://en.wikipedia.org/wiki/Ewald_Wollny","Ewald Wollny ","Germany",1846,1901,"Germany",51.0834196,10.4234469,47.2701114,55.099161,5.8663153,15.0418087
"144",144,"https://en.wikipedia.org/wiki/Alexander_Graham_Bell","Alexander Graham Bell ","Scotland",1847,1922,"Scotland",56.7861112,-4.1140518,54.4339831,61.061,-14.015517,-0.3209221
